address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans
590 Eldorado Avenue Condominiums,Oakland,CA,94611,37.821632,-122.252488,1,803,479000,0.9467863801510591
626 Mariners Island Blvd APT 209,San Mateo,CA,94404,37.564759,-122.284868,0,519,499000,1.244474654373125
1419 Derby St,Berkeley,CA,94702,37.858752,-122.281625,3,1400,1198000,0.7493480364133601
97 Amber Dr,San Francisco,CA,94131,37.745618,-122.445018,3,1420,1295000,1.062712337893015
2282 Park Blvd,Oakland,CA,94606,37.801404,-122.245254,1,1300,2495000,1.0772175738282563
3626 Lyon Ave,Oakland,CA,94601,37.785553,-122.209896,2,832,598888,1.0780995073668027
1779 10th Ave,San Francisco,CA,94122,37.755075,-122.467088,2,1293,1288000,1.0979426156636396
304 Malcolm Ave,Belmont,CA,94002,37.526735,-122.288387,3,1600,1598000,0.7604609124052605
1634 Leimert Blvd,Oakland,CA,94602,37.811784,-122.210025,3,1916,1299000,1.003068213430956
2032 Encinal Ave,Alameda,CA,94501,37.76591,-122.25274,4,1720,880000,1.1304162355083103
1623 Tyler St,Berkeley,CA,94703,37.853106,-122.275355,4,1390,799000,0.29541885686661973
65 67 Rivoli St,San Francisco,CA,94117,37.76244,-122.449073,0,2170,1895000,1.241041903226383
944 Shoreline Dr,San Mateo,CA,94404,37.558334,-122.288916,3,1625,1365000,1.1958635787292258
3015 23rd Ave,San Francisco,CA,94132,37.732262,-122.47948,4,2494,1688000,1.3714487847573862
2750 40th Ave,San Francisco,CA,94116,37.735512,-122.497403,3,1283,995000,1.4303656036383712
2920 Buchanan St APT 7,San Francisco,CA,94123,37.797112,-122.431787,1,950,1049000,1.4331092713990485
672 34th St,Oakland,CA,94609,37.823774,-122.270591,0,3113,950000,0.41420698179897575
6020 Skyline Blvd,Oakland,CA,94611,37.852614,-122.211873,5,3160,1200000,1.038626033692212
2541 California St APT 4,San Francisco,CA,94115,37.788297,-122.436186,3,1350,1380000,1.3685529095630504
3590 20th St APT 505,San Francisco,CA,94110,37.75866,-122.42018,3,1839,2395000,0.45310394410614374
17335 Via Chiquita,San Lorenzo,CA,94580,37.667273,-122.133127,3,1031,585000,0.46443307121555477
58 N El Camino Real APT 208,San Mateo,CA,94401,37.566655,-122.328692,2,1150,978000,0.2839613371976394
352 Sweet Rd,Alameda,CA,94502,37.741017,-122.257988,4,2202,1395000,1.2837234099183714
1611 15th St,Oakland,CA,94607,37.812067,-122.294073,3,1467,610000,0.513604488307793
1651 47th Ave,Oakland,CA,94601,37.772306,-122.209739,0,2639,560000,0.8876242783872325
1006 Everett St,El Cerrito,CA,94530,37.913989,-122.303232,3,1008,675000,0.8199176249465814
1373 75 Page St,San Francisco,CA,94117,37.771205,-122.443335,0,4275,2095000,1.0711339616364555
518 Silver Ave,San Francisco,CA,94112,37.728428,-122.426069,3,1500,1095000,0.531478975251725
58 Vernon St # 402,Oakland,CA,94610,37.812345,-122.259815,3,1844,1385000,0.533359003588699
518 E 16th Ave,San Mateo,CA,94402,37.557386,-122.308891,4,1980,1398000,0.2990759936672883
3970 Coronado Way,San Bruno,CA,94066,37.635548,-122.466067,3,1160,1118000,0.8899535073408734
380 14th St APT 403,San Francisco,CA,94103,37.76834,-122.421742,1,591,699000,0.2379302453801503
375 Mandarin Dr APT 111,Daly City,CA,94015,37.664553,-122.462079,1,717,475000,0.8924239343332228
112 Clipper St,San Francisco,CA,94114,37.749513,-122.427682,5,2962,1995000,0.5382965370736533
25 Lilac Ln,South San Francisco,CA,94080,37.660523,-122.420798,3,1460,1075000,0.915089296185558
315 Rheem Blvd,Moraga,CA,94556,37.862637,-122.131239,4,2091,1495000,0.9923009308732718
2443 Grande Vista Ave,Oakland,CA,94601,37.790877,-122.227702,0,2898,1295900,1.0694034606641614
8009 Greenridge Dr APT 4,Oakland,CA,94605,37.772976,-122.154234,2,854,475000,1.087504692517625
2116 Broadway,Burlingame,CA,94010,37.579594,-122.370662,3,2040,2185000,0.7021798783850733
831 833 Filbert St,San Francisco,CA,94133,37.800653,-122.413164,4,2618,1995000,1.0140953775790527
4070 23rd St,San Francisco,CA,94114,37.753178,-122.433543,4,3395,4500000,0.8269019821411955
148 Cypress Pl,Sausalito,CA,94965,37.867817,-122.502877,1,766,659000,1.0305198739665848
2821 Shasta Rd,Berkeley,CA,94708,37.887862,-122.255652,3,1945,1098000,1.0991477550146191
55 Santa Paula Ave,San Francisco,CA,94127,37.738902,-122.463121,5,2682,2495000,1.1271756260660437
3307 Pierson St,Oakland,CA,94619,37.781671,-122.191102,2,935,599000,1.1371850807823236
2109 Cipriani Blvd,Belmont,CA,94002,37.52125,-122.301171,4,2250,2280000,1.154656292547211
3221 Macarthur Blvd,Oakland,CA,94602,37.795671,-122.203146,3,1554,998800,1.182219821462155
360 Guerrero St APT 410,San Francisco,CA,94103,37.765462,-122.424916,1,822,819000,0.2921931595037869
608 Tern Ln,Alameda,CA,94501,37.77899,-122.278853,4,1590,839744,0.9794680888946434
395 Lowell Ave,Mill Valley,CA,94941,37.884339,-122.532627,3,1870,1295000,1.152325798653873
202 Castilian Way,San Mateo,CA,94402,37.556526,-122.323932,4,3150,3195000,0.7814101560086651
10900 Glen Artney St,Oakland,CA,94605,37.753338,-122.123734,3,1347,799000,0.8150525948258147
5227 West St,Oakland,CA,94608,37.837588,-122.26946,8,3210,1700000,0.6041551190179645
5217 West St,Oakland,CA,94608,37.837454,-122.269531,7,2825,1425000,0.5959883917631065
8 Moraga Ct,Orinda,CA,94563,37.863681,-122.169466,5,3450,1995000,1.0708398011666376
834 Santa Fe Ave,Albany,CA,94706,37.891577,-122.28866,1,580,495000,0.948403806264257
2311 Bourbon Ct,South San Francisco,CA,94080,37.641689,-122.45567,4,1860,1398000,1.080017060760264
"280 Spear Street #4H Plan, MIRA",San Francisco,CA,94105,37.791282,-122.39306,2,975,1105000,0.24573187265103222
1450 Crystal Dr,Hillsborough,CA,94010,37.5358,-122.357986,4,3070,3588000,0.47127503355066985
135 Stillings Ave,San Francisco,CA,94131,37.734342,-122.442888,2,1100,1095000,0.5040138391195755
1333 Shelter Creek Ln,San Bruno,CA,94066,37.61845,-122.425545,0,490,435000,0.9063402705323579
2203 Portsmouth Way,San Mateo,CA,94403,37.550079,-122.293744,4,1510,1435000,0.803910911626331
1021 83rd Ave,Oakland,CA,94621,37.752133,-122.184586,4,1503,629888,0.6888145520889434
590 6th St APT 311,San Francisco,CA,94103,37.774732,-122.4015,2,1373,1250000,0.3878665010376994
3601 Branson Dr,San Mateo,CA,94403,37.540926,-122.285282,4,1740,1498000,0.7185395944614026
88 Guy Pl APT 401,San Francisco,CA,94105,37.786221,-122.394843,2,1449,1300000,0.4158548106843438
121 Palm Ave,Corte Madera,CA,94925,37.927495,-122.529867,2,1283,1459000,0.47793959422703486
601 Van Ness Ave APT 710,San Francisco,CA,94102,37.781386,-122.421406,1,672,539000,0.43873738731837536
198 States St,San Francisco,CA,94114,37.763968,-122.439555,7,4044,2488000,0.660541737006253
41 43 Cuvier St,San Francisco,CA,94112,37.73429,-122.428472,4,1500,1798000,0.30443103722548026
120 King Ave,Piedmont,CA,94610,37.817188,-122.223613,5,4964,4695000,0.7279248081271776
817 N Humboldt St APT 206,San Mateo,CA,94401,37.580699,-122.331203,2,983,735000,0.7470656425295736
228 Athens St,San Francisco,CA,94112,37.724359,-122.426714,1,1125,888000,0.7166010807474031
117 Lake Dr,San Bruno,CA,94066,37.619006,-122.451252,4,2080,1437000,0.7606786521743296
1496 La Playa St,San Francisco,CA,94122,37.758579,-122.50883,2,2030,1399000,0.7609373888552582
841 Arlington Ave,Oakland,CA,94608,37.842374,-122.271727,4,2000,998000,0.7458460644611054
4200 Roderick Rd,Oakland,CA,94605,37.749882,-122.131238,4,2620,899000,0.7646447058853643
1356 Holman Rd,Oakland,CA,94610,37.807175,-122.227311,2,1135,899000,0.9000624469328788
1943 Bandoni Ave,San Lorenzo,CA,94580,37.667215,-122.14405,3,1516,798000,0.9415578928076118
1755 20th Ave,San Francisco,CA,94122,37.755013,-122.477932,2,1045,799000,0.9554914770101043
7112 Sayre Dr,Oakland,CA,94611,37.833189,-122.194767,3,2266,1099000,0.9804380919265119
575 58th St,Oakland,CA,94609,37.843355,-122.264038,3,1459,929000,0.6981211515847672
6427 Shattuck Ave,Oakland,CA,94609,37.850036,-122.266121,0,5555,2350000,0.29586552872325317
